,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,monthly_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
20,casbin,casbin/casbin,authorization,,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-10-30 06:10:48.000000,2023-10-30 06:05:45,1078.0,11.0,1537.0,231.0,479.0,35.0,734.0,15985.0,2023-09-02 15:37:12,2.77.2,100.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",2582.0,2582.0,135.0,35,True,291794.0,2.0,,,,,,,,,casbin,https://www.npmjs.com/package/casbin,170246.0,,casbin,https://pypi.org/project/casbin,121548.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,ory-hydra,ory/hydra,authentication,,,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-10-31 10:44:39.000000,2023-10-24 08:44:35,3731.0,48.0,1320.0,233.0,1722.0,75.0,1390.0,14651.0,2023-05-24 08:55:23,2.1.2,100.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",2.0,2.0,290.0,35,True,4019033.0,2.0,['ory'],658964.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,408953071.0,,,,,,75.0,,,,https://k8s.ory.sh/helm/charts,,,,,
22,face-api-js,justadudewhohacks/face-api.js,face,,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3503.0,334.0,107.0,422.0,389.0,15591.0,2020-03-22 14:01:55,0.22.2,38.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,7648.0,7648.0,25.0,34,False,151667.0,1.0,,,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,151667.0,,,,,,,,,,
23,casl,stalniy/casl,authorization,,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-11-08 17:32:44.000000,2023-10-17 06:26:58,1498.0,8.0,250.0,42.0,341.0,11.0,426.0,5244.0,2023-07-28 06:28:52,@casl/mongoose@7.2.1,100.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,57723.0,57723.0,66.0,34,True,1972547.0,2.0,,,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1972547.0,,,,,,,,,,
24,ockam,build-trust/ockam,machine,,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-11-09 18:11:57.000000,2023-11-09 15:53:16,7300.0,945.0,515.0,58.0,5046.0,308.0,1365.0,3874.0,2023-11-08 18:24:15,ockam_v0.103.0,100.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",183.0,183.0,292.0,34,True,13902.0,2.0,,333666.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
25,cas,apereo/cas,idp,,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-11-09 00:38:47.671998,2023-11-08 11:41:25,23975.0,434.0,3811.0,610.0,4514.0,,,10525.0,2023-10-16 07:04:06,6.6.13,100.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,21.0,21.0,340.0,33,True,5821.0,2.0,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-11-09 00:38:47.671998,849874.0,,,,,,128.0,,,,,,,,,
26,pomerium,pomerium/pomerium,machine,,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-11-09 17:58:29.919693,2023-11-09 17:49:56,3151.0,129.0,274.0,36.0,3739.0,86.0,854.0,3709.0,2023-08-28 14:49:52,0.23.0,100.0,Pomerium is an identity and context-aware access proxy.,13.0,13.0,91.0,33,True,17266540.0,2.0,,48789.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-11-09 17:58:29.919693,1001401632.0,,,,,,10.0,,,,,,,,,
27,ageitgey-face-recognition,ageitgey/face_recognition,face,,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12846.0,1572.0,224.0,714.0,584.0,50152.0,2018-04-02 17:18:43,1.2.2,2.0,The worlds simplest facial recognition api for Python and the command line.,21.0,21.0,54.0,32,False,63830.0,2.0,,1192.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,7027.0,,,,,,16.0,face_recognition,https://pypi.org/project/face_recognition,63728.0,,,,,,
28,insightface,deepinsight/insightface,face,,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-10-01 11:57:13.000000,2023-09-10 02:01:49,2281.0,10.0,4762.0,489.0,149.0,971.0,1337.0,18802.0,2023-04-02 07:43:27,0.7,1.0,State-of-the-art 2D and 3D Face Analysis Project.,1160.0,1160.0,57.0,32,False,133959.0,2.0,,937711.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,138.0,,,,,,,,,,,,,,,
29,paddlespeech,PaddlePaddle/PaddleSpeech,voice,,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-10-31 07:51:11.000000,2023-09-19 06:25:53,4731.0,5.0,1646.0,181.0,1683.0,382.0,1327.0,9027.0,2023-04-14 09:36:52,r1.4.1,15.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",80.0,80.0,129.0,32,True,180324.0,3.0,,,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,180324.0,,,,,,
